REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.270	 3.224	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.051	 4.204	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.450	 2.076	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.872	 4.019	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.005	 4.159	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.273	 3.229	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.025	 4.179	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.035	 4.188	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.524	 3.586	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.026	 4.180	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.592	 2.251	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.615	 3.709	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.038	 4.191	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.987	 2.804	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.044	 4.197	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.003	 4.157	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.367	 3.365	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.991	 4.145	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.697	 2.389	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.935	 4.087	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.029	 4.182	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.278	 3.237	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.026	 4.180	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.996	 4.150	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.183	 3.096	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.006	 4.160	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.916	 2.699	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.705	 3.823	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.028	 4.181	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.095	 2.964	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.015	 4.168	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.871	 4.019	 16000	nb
